Encuestadora,link,tipo,Fecha_inicio,Fecha_fin,Poblacion,Ambito,Keiko_Fujimori,Julio_Guzman,George_Forsyth,Cesar_Acuna,Yonhy_Lescano,Daniel_Urresti,Hernando_de_Soto,Ollanta_Humala,Veronika_Mendoza,Daniel_Salaverry,Marco_Arana,Fernando_Olivera,Alberto_Beingolea,Rafael_Lopez_Aliaga,Pedro_Castillo,Blanco_viciado,No_sabe_no_opina,Otros_candidatos,Suma
Ipsos,https://elcomercio.pe/politica/elecciones/el-comercio-ipsos-ollanta-humala-keiko-fujimori-cesar-acuna-y-julio-guzman-lideran-el-antivoto-elecciones-2021-noticia/?ref=ecr`,Encuesta,20210113,20210115,,,8,7,17,4,6,6,5,4,7,4,,,,,,14,11,7,100
Ipsos,https://elcomercio.pe/elecciones-2021/encuesta-el-comercio-ipsos-forsyth-permanece-arriba-con-18-y-el-resto-no-pasa-del-8-noticia/,Encuesta,20201210,20201211,,,7,8,18,2,4,6,3,2,7,3,,2,2,,,18,10,8,100
CPI,https://www.cpi.pe/images/upload/paginaweb/archivo/23/CPI_OpinionPublica_Enero21.pdf,Encuesta,20210121,20210125,,,5.6,4.1,10.1,3.7,5,4.3,2.8,1.6,4.7,3.2,,,,,2.4,19.3,30.4,2.6,99.8
IEP,https://larepublica.pe/elecciones/2020/12/13/cae-george-forsyth-y-cuatro-disputan-segundo-lugar-pltc/,Encuesta,20201201,20201208,,,7.7,9.1,14.4,2,4.5,6.3,4.1,2.9,9.1,3.1,,1.8,,,,24.1,5.3,4.3,98.7
Datum,http://www.datum.com.pe/intencion-de-voto/files/enero/Encuesta%20DATUM%20-%20Enero%202021%20-%20Informe%20Electoral.pdf,Encuesta,20210108,20210112,,,6,5,13,3,4,3,,2,5,2,1,,1,,,30,19,3,97
Datum,http://www.datum.com.pe/intencion-de-voto/files/diciembre/ENCUESTA%20Datum%20-%20Diciembre%202020%20-%20Informe%20ELECTORAL.pdf,Encuesta,20201203,20201206,,,4,4,10,2,4,3,5,1,4,2,,,,,,32,24,5,100
IEP,https://larepublica.pe/elecciones/2021/01/31/george-forsyth-y-veronika-mendoza-lideran-intencion-de-voto-segun-iep-pltc/,Encuesta,20210121,20210127,,,6.7,4.6,13.3,,7.1,5.6,5.6,2.8,8.2,2.5,,,,,,25.1,7.5,10.8,99.8
Ipsos,https://elcomercio.pe/politica/elecciones/encuesta-de-el-comercio-ipsos-febrero-intencion-de-voto-elecciones-2021-yonhy-lescano-crece-mientras-george-forsyth-y-julio-guzman-retroceden-accion-popular-victoria-nacional-partido-morado-11-de-abril-noticia/,Encuesta,20210210,20210211,,,8,4,11,3,10,7,4,2,8,3,,,,3,2,15,14,6,100
Datum,https://peru21.pe/politica/elecciones-2021-la-campana-empieza-a-calentarse-y-lidera-george-forsyth-con-apenas-11-de-preferencia-encuesta-datum-yonhy-lescano-noticia/,Encuesta,20210209,20210212,,,8,3,11,4,9,6,4,3,7,2,,,2,3,,15,18,5,100
CPI,https://www.cpi.pe/images/upload/paginaweb/archivo/23/CPI%20OP%20Febrero%202021.pdf,Encuesta,20210217,20210219,,,6.4,2.4,8.9,3.1,8,4.7,2.9,,4.7,2.6,,,,3,1.7,18.8,30.1,2.7,100
IEP,https://larepublica.pe/elecciones/2021/02/28/yonhy-lescano-sube-al-primer-lugar-seguido-de-veronika-mendoza-pltc/,Encuesta,20210219,20210223,,,8.1,3.1,8.1,3.8,11.3,4.8,4.2,2.4,8.9,2.2,,,,7.6,2.4,2.5,28.1,2.5,100
Datum,https://gestion.pe/peru/politica/encuestas-yonhy-lescano-rafael-lopez-aliaga-george-forsyth-keiko-fujimori-lescano-repunta-mientras-lopez-aliaga-forsyth-y-fujimori-empatan-en-segundo-lugar-elecciones-2021-onpe-datum-noticia/,Encuesta,20210305,20210307,,,7,3,7,3,13,4,5,1,6,2,,,,7,2,16,21,3,100
IEP,https://larepublica.pe/elecciones/2021/03/13/elecciones-2021-encuesta-iep-revela-que-lescano-sigue-primero-lopez-aliaga-sube-y-reina-la-desafeccion-pltc/,Encuesta,20210308,20210311,,,7.2,2.3,6.8,3.4,13.9,4.5,5.7,2.5,7,1.2,,,,9.5,3.5,2.5,28.1,2.6,100.7
Ipsos,https://elcomercio.pe/elecciones-2021/encuesta-el-comercio-ipsos-la-disputa-por-el-segundo-lugar-y-los-nuevos-escenarios-noticia/,Encuesta,20210310,20210311,,,8.6,3.1,11.2,2.6,16.8,5.1,4.8,2.2,8.4,1.9,0.7,,1.2,9.3,3,19.6,,1.5,100
CPI,https://www.cpi.pe/images/upload/paginaweb/archivo/23/CPI%20OP%2014%20Marzo.pdf,Encuesta,20210306,20210316,,,6.5,2,8,4,12.2,3.8,4.5,1.5,5.9,,,,,7.2,2.5,15.6,23.2,3.2,100.1
Datum,https://gestion.pe/peru/politica/elecciones-generales-2021-encuesta-datum-lescano-mantiene-la-punta-y-crece-lucha-por-el-segundo-lugar-noticia/?ref=gesr,Encuesta,20210318,20210321,,,8,2,8,3,14,5,5,2,6,2,,,,9,3,14,17,2,100
CPI,https://lucidez.pe/encuesta-cpi-yonhy-lescano-estanca-su-crecimiento-y-rafael-lopez-aliaga-cae/,Encuesta,20210319,20210323,,,7.1,2,8.1,4,11,3.8,4.5,2.1,5.4,,,,,5.2,4.3,15.2,24.8,2.5,100
IEP,https://larepublica.pe/elecciones/2021/03/28/encuesta-iep-lescano-pierde-impulso-y-hay-pugna-por-la-segunda-vuelta-pltc/,Encuesta,20210322,20210325,,,7.9,1.1,8.2,3.2,11.4,4.3,8.5,2,9.6,1.2,,,,9.7,4.3,20.2,6.3,1.9,99.8
Datum,https://peru21.pe/politica/elecciones-2021-cinco-candidatos-se-disputan-el-pase-a-la-segunda-vuelta-noticia/,Encuesta,20210327,20210329,,,7.9,1.5,7.4,2.5,12.1,3.5,6.5,,5.7,0.9,,,0.9,7.2,3.7,36.9,0,3.3,100
Ipsos,https://elcomercio.pe/elecciones-2021/elecciones-2021-de-soto-escala-al-segundo-lugar-en-la-recta-final-ipsos-peru-simulacro-noticia/,Encuesta,20210331,20210331,,,9.3,1.4,9.8,3.5,12.1,3.9,11.5,1.6,10.2,1.3,,,2.2,6.8,6.5,17.3,0,2.6,100
IEP,https://larepublica.pe/elecciones/2021/04/04/encuesta-iep-voto-a-voto-hasta-cinco-candidatos-disputan-la-primacia-pltc/?ref=lre,Encuesta,20210401,20210402,,,9.8,2.3,5.7,4.1,8.2,3.5,9.8,1.4,7.3,,,,2,8.4,6.6,18.3,9.3,3.2,99.9
CPI,https://www.cpi.pe/images/upload/paginaweb/archivo/23/CPI_OP_04_Abril.pdf,Encuesta,20210330,20210401,,,7.9,1.4,6.8,4.8,11.1,2.9,7.8,,7.3,1.4,,,2.5,7,6.2,13.7,17.8,1.5,100.1